&a / °	I1 / %
0.487	38.0
0.481	40.0
0.476	42.4
0.471	44.0
0.465	45.6
0.460	46.8
0.455	47.6
0.449	48.0
0.444	48.4
0.438	48.8
0.433	49.6
0.428	50.4
0.422	51.2
0.417	51.2
0.412	50.8
0.406	50.0
0.401	49.2
0.396	48.0
0.390	46.8
0.385	45.6
0.380	44.4
0.374	43.2
0.369	42.0
0.364	40.8
0.358	39.6
0.353	38.8
0.348	38.0
0.342	37.2
0.337	36.8
0.332	36.4
0.326	36.0
0.321	36.0
0.316	35.6
0.310	35.6
0.305	35.6
0.299	35.6
0.294	36.0
0.289	36.0
0.283	36.0
0.278	36.0
0.273	36.4
0.267	36.8
0.262	36.8
0.257	37.2
0.251	37.6
0.246	38.0
0.241	38.0
0.235	38.0
0.230	38.0
0.225	37.6
0.219	36.8
0.214	36.0
0.209	35.6
0.203	35.2
0.198	35.6
0.193	36.4
0.187	38.0
0.182	39.2
0.176	40.0
0.171	40.4
0.166	40.4
0.160	40.4
0.155	40.4
0.150	40.0
0.144	40.0
0.139	39.6
0.134	39.6
0.128	39.6
0.123	39.6
0.118	39.6
0.112	39.2
0.107	38.8
0.102	38.8
0.096	38.4
0.091	38.4
0.086	38.4
0.080	38.0
0.075	38.0
0.070	38.0
0.064	37.6
0.059	37.6
0.053	37.2
0.048	36.8
0.043	36.4
0.037	36.4
0.032	36.4
0.027	36.4
0.021	36.4
0.016	36.4
0.011	36.4
0.005	36.4
0.000	36.4
-0.005	36.4
-0.011	36.4
-0.016	36.4
-0.021	36.4
-0.027	36.4
-0.032	36.4
-0.037	36.4
-0.043	36.8
-0.048	36.8
-0.053	36.8
-0.059	36.8
-0.064	36.8
-0.070	37.2
-0.075	37.2
-0.080	37.2
-0.086	37.2
-0.091	37.2
-0.096	37.2
-0.102	37.2
-0.107	37.2
-0.112	36.8
-0.118	36.8
-0.123	37.2
-0.128	38.0
-0.134	38.8
-0.139	38.8
-0.144	39.2
-0.150	39.2
-0.155	39.2
-0.160	39.2
-0.166	39.2
-0.171	39.2
-0.176	39.2
-0.182	39.2
-0.187	39.6
-0.193	40.0
-0.198	40.0
-0.203	40.0
-0.209	40.0
-0.214	40.0
-0.219	40.0
-0.225	39.6
-0.230	39.6
-0.235	39.2
-0.241	38.8
-0.246	38.8
-0.251	38.8
-0.257	38.8
-0.262	39.2
-0.267	39.2
-0.273	39.2
-0.278	39.2
-0.283	38.8
-0.289	38.4
-0.294	38.4
-0.299	38.4
-0.305	38.8
-0.310	39.2
-0.316	39.2
-0.321	39.6
-0.326	40.0
-0.332	40.4
-0.337	40.8
-0.342	41.2
-0.348	41.6
-0.353	42.0
-0.358	42.4
-0.364	42.8
-0.369	43.2
-0.374	44.0
-0.380	44.4
-0.385	45.2
-0.390	46.0
-0.396	46.8
-0.401	47.2
-0.406	48.0
-0.412	48.4
-0.417	48.8
-0.422	49.2
-0.428	49.6
-0.433	50.0
-0.438	50.4
-0.444	50.8
-0.449	50.8
-0.455	51.2
-0.460	51.2
-0.465	50.8
-0.471	50.4
-0.476	49.6
-0.481	49.2
-0.487	48.0
-0.492	46.8
-0.497	46.4
-0.503	46.0
-0.508	46.0
-0.513	45.6
-0.519	45.2
-0.524	44.8
-0.529	44.4
-0.535	43.6
-0.540	42.8
-0.545	42.0
-0.551	40.8
-0.556	39.6
-0.561	38.8
-0.567	38.0
-0.572	37.2
-0.578	36.8
-0.583	36.4
-0.588	35.6
-0.594	35.2
-0.599	34.8
-0.604	34.4
-0.610	33.6
-0.615	32.8
-0.620	32.0
-0.626	31.2
-0.631	30.8
-0.636	30.4
-0.642	30.0
-0.647	29.2
-0.652	28.0
-0.658	27.2
-0.663	26.0
-0.668	25.2
-0.674	24.4
-0.679	23.2
-0.684	22.0
-0.690	20.8
-0.695	19.6
-0.701	18.4
-0.706	17.6
-0.711	16.8
-0.717	15.6
-0.722	14.8
-0.727	14.0
