&a  °	I1  %
-0.594	10.8
-0.599	10.0
-0.604	9.2
-0.610	8.4
-0.615	8.0
-0.620	7.6
-0.626	7.2
-0.631	6.8
-0.636	6.8
-0.642	6.4
-0.647	6.4
-0.652	6.0
-0.658	6.0
-0.663	5.6
-0.668	5.6
-0.674	5.2
-0.679	5.2
-0.684	5.2
-0.690	5.2
-0.695	4.8
-0.701	4.8
-0.706	4.8
-0.711	4.4
-0.717	4.4
-0.722	4.4
-0.727	4.4
-0.733	4.4
-0.738	4.4
-0.743	4.4
-0.749	4.4
-0.754	4.4
-0.759	4.4
-0.765	4.4
-0.770	4.4
-0.775	4.4
-0.781	4.4
-0.786	4.4
-0.791	4.4
-0.797	4.4
-0.802	4.4
-0.807	4.4
-0.813	4.4
-0.818	4.8
-0.823	4.8
-0.829	4.8
-0.834	4.8
-0.840	5.2
-0.845	5.2
-0.850	5.2
-0.856	5.6
-0.861	6.0
-0.866	6.0
-0.872	6.4
-0.877	6.8
-0.882	7.2
-0.888	7.6
-0.893	8.4
-0.898	8.8
-0.904	9.6
-0.909	10.4
-0.914	11.6
-0.920	12.8
-0.925	14.4
-0.930	15.6
-0.936	17.2
-0.941	19.6
-0.946	21.6
-0.952	24.0
-0.957	26.4
-0.962	29.2
-0.968	31.2
-0.973	32.8
-0.979	34.4
-0.984	36.0
-0.989	37.2
-0.995	37.6
-1.000	37.6
-1.005	37.2
-1.011	36.4
-1.016	35.6
-1.021	34.4
-1.027	33.2
-1.032	31.6
-1.037	29.2
-1.043	26.8
-1.048	24.0
-1.053	20.8
-1.059	18.0
-1.064	15.2
-1.069	12.8
-1.075	10.8
-1.080	9.6
-1.085	8.4
-1.091	7.6
-1.096	6.8
-1.101	6.4
-1.107	6.0
-1.112	5.6
-1.118	5.2
-1.123	5.2
-1.128	4.8
-1.134	4.4
-1.139	4.4
-1.144	4.4
-1.150	4.4
-1.155	4.4
-1.160	4.4
-1.166	4.4
-1.171	4.4
-1.176	4.4
-1.182	4.4
-1.187	4.4
-1.192	4.4
-1.198	4.4
-1.203	4.4
-1.208	4.8
-1.214	4.8
-1.219	4.8
-1.224	5.2
-1.230	5.6
-1.235	6.0
-1.240	6.4
-1.246	6.8
-1.251	7.2
-1.256	8.0
-1.262	8.8
-1.267	9.6
-1.273	11.2
-1.278	12.8
-1.283	14.8
-1.289	17.2
-1.294	19.6
-1.299	22.4
-1.305	25.2
-1.310	28.0
